epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,12040.3,0.26807,0.00258,1e-05,0.14244,0.80265,0.98226,0.96681,0.9843,0.93723,0.99249,0.97818,0.99115,0.99095,0.36658,0.00751,1e-05,0.22782,0.79472,3.4227e-05,3.4227e-05,3.4227e-05
92,12171.6,0.26741,0.00258,0.0004,0.14192,0.80222,0.98226,0.96649,0.98429,0.93741,0.99262,0.97841,0.99117,0.99104,0.36708,0.00749,1e-05,0.22708,0.79528,2.96546e-05,2.96546e-05,2.96546e-05
93,12302.7,0.26971,0.00258,1e-05,0.14197,0.80258,0.98226,0.96675,0.98423,0.93698,0.99262,0.97834,0.9912,0.99107,0.36805,0.00736,1e-05,0.22586,0.79636,2.55513e-05,2.55513e-05,2.55513e-05
94,12434.7,0.26737,0.00247,1e-05,0.14103,0.80096,0.98226,0.96645,0.9843,0.93736,0.99262,0.97835,0.99122,0.99109,0.36862,0.00734,1e-05,0.22542,0.7968,2.19212e-05,2.19212e-05,2.19212e-05
95,12566.5,0.2657,0.00252,1e-05,0.14092,0.80071,0.98241,0.96654,0.98425,0.93722,0.99287,0.97854,0.99123,0.99109,0.36924,0.00734,1e-05,0.22556,0.79768,1.87678e-05,1.87678e-05,1.87678e-05
96,12698.5,0.26694,0.00267,1e-05,0.14129,0.80183,0.9825,0.96629,0.98422,0.93721,0.99299,0.97842,0.99124,0.99111,0.36994,0.00734,1e-05,0.22458,0.79863,1.60943e-05,1.60943e-05,1.60943e-05
97,12830.5,0.26808,0.00259,0.00135,0.14108,0.80311,0.9825,0.96653,0.98425,0.93695,0.99324,0.97866,0.99125,0.99112,0.371,0.00732,1e-05,0.22279,0.8001,1.39032e-05,1.39032e-05,1.39032e-05
98,12962.3,0.26531,0.00252,1e-05,0.14066,0.80134,0.9825,0.96683,0.98421,0.93677,0.99282,0.97866,0.99127,0.99113,0.37168,0.0073,1e-05,0.22264,0.801,1.21968e-05,1.21968e-05,1.21968e-05
99,13091.9,0.26689,0.00252,0.00059,0.14157,0.80109,0.9825,0.96674,0.98394,0.93698,0.99336,0.97842,0.99127,0.99113,0.37181,0.00722,1e-05,0.22598,0.80019,1.09768e-05,1.09768e-05,1.09768e-05
100,13223.3,0.26682,0.00254,0.00018,0.14092,0.80197,0.98274,0.96678,0.98392,0.937,0.9934,0.97842,0.99129,0.99116,0.37216,0.00726,1e-05,0.22553,0.80038,1.02443e-05,1.02443e-05,1.02443e-05
